"","name","pweight_x","pweight_y","pop11","number_lsoa","type","number_oa","imputed_easting","imputed_northing","imputed_type","imputed_error","imputed_osm_nm"
"1194","Shaw (Oldham) BUASD",393698.176881266,409350.2101977,19730,13,"buasd",NA,393214.947869041,409483.584775916,"town",501.297373193137,"Shaw"
"1195","Shedfield BUASD",456406.724429632,113261.529586902,1206,1,"buasd",NA,456406.724429632,113261.529586902,"Origin",NA,NA
"1196","Sheffield BUASD",436041.848410769,386719.669540195,514246,320,"buasd",NA,435338.016048383,387220.898083075,"city",864.065996633749,"Sheffield"
"1197","Shefford BUASD",514481.887165745,238838.954687735,4712,3,"buasd",NA,514265.944170641,239085.485324138,"town",327.732713990978,"Shefford"
"1198","Sheringham BUASD",615758.841748975,342809.851960981,7367,4,"buasd",NA,615952.250133271,343330.188646604,"town",555.118968799639,"Sheringham"
"1199","Shevington BUASD",354341.375706456,408633.550960424,5673,4,"buasd",NA,354341.375706456,408633.550960424,"Origin",NA,NA
"1200","Shevington Vale BUASD",352893.410882347,409631.108436477,4443,3,"buasd",NA,352893.410882347,409631.108436477,"Origin",NA,NA
"1201","Shipley BUASD",414776.760744454,437177.747538514,28139,18,"buasd",NA,414709.934355172,437347.434572779,"town",182.371751930534,"Shipley"
"1202","Shireoaks BUASD",455855.214781176,381290.334810434,1816,1,"buasd",NA,455855.214781176,381290.334810434,"Origin",NA,NA
"1203","Shoreham-by-Sea BUASD",519912.953328965,105142.013450234,49386,34,"buasd",NA,519113.69658315,105710.620982742,"town",980.880151575643,"Shoreham-by-Sea"
"1204","Shorne Ridgeway BUASD",569209.4613179,170787.731921965,1247,1,"buasd",NA,569209.4613179,170787.731921965,"Origin",NA,NA
"1205","Shortfield Common BUASD",483934.381461515,141732.597654258,1202,1,"buasd",NA,483934.381461515,141732.597654258,"Origin",NA,NA
"1206","Shotton BUASD",330279.955665374,367089.466644273,14554,9,"buasd",NA,329901.947669569,366109.449194824,"town",1050.39242481884,"Ewloe"
"1207","Shotton Colliery BUASD",439377.756988625,540777.447470757,4359,3,"buasd",NA,439377.756988625,540777.447470757,"Origin",NA,NA
"1208","Shrivenham BUASD",423800.520535977,188811.622879869,2673,2,"buasd",NA,423800.520535977,188811.622879869,"Origin",NA,NA
